,id,URL,domain,topic,has_image,has_hyperlink,sentence_eng_Latn,sentence_ukr_Cyrl
0,1,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,0,0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку."
1,2,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,wikinews,health,0,0,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах."
2,3,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,0,0,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів."
3,4,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,0,0,The pilot was identified as Squadron Leader Dilokrit Pattavee.,Пілота пізніше опізнали як майора авіації Ділокріта Паттаві.
4,5,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,wikinews,accident,0,0,Local media reports an airport fire vehicle rolled over while responding.,"Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику."
5,6,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,0,0,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28-річний Відаль прийшов у Барселону три сезону тому із Севільї.
6,7,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,wikinews,sports,0,0,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Після переїзду до каталонської столиці Відаль зіграв за клуб 49 матчів.
7,8,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,0,0,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією."
8,9,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,0,0,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Відразу після 11:00 протестувальники заблокували рух у північному напрямку вулиці Вайтголл.
9,10,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,0,0,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху."
